# BATCH 02 — Eps_RooftopGarden: elevated urban garden at dusk, sculpted hedges, glass balustrade, twilight sky
# Format: prefix|char_prompt|bg_prompt
Eps_RooftopGarden_01|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair drifting in evening breeze, parted bangs, hair bun lifted, elegant black dress with soft fabric, gold accessories, purple gem, anime style, frontal eye-level portrait on a rooftop garden terrace at dusk, sculpted hedges framing her, soft golden hour rim light, hands clasped at waist|masterpiece, best quality, ultra-detailed, cinematic, background only, rooftop garden at dusk, sculpted boxwood hedges, glass balustrade, twilight sky deep violet to amber gradient, distant city silhouettes, soft golden rim light
Eps_RooftopGarden_02|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long silvery light blue hair lifted in warm breeze, parted bangs, hair bun, flowing dark teal sundress with thin gold belt, gold accessories, purple gem, anime style, three-quarter right pose standing beside a potted olive tree, finger touching a leaf, twilight catching one eye, soft laugh|rooftop garden at dusk, warm potted olive tree in foreground, distant city skyline, violet-amber twilight, glass balustrade softly out of focus, sculpted hedge behind
Eps_RooftopGarden_03|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair streaming back in breeze, parted bangs, hair bun intact, sleek dark dress with high collar, gold accessories, purple gem, anime style, perfect right profile shot at garden balustrade, gaze toward distant skyline, ribbon trailing horizontally|rooftop garden right profile, distant skyline silhouette at dusk, soft hedges in middle ground, glass balustrade bar cutting horizontally, twilight gradient
Eps_RooftopGarden_04|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair settled over opposite shoulder, parted bangs, hair bun, dark elegant sundress with gold thread, gold accessories, purple gem, anime style, perfect left profile at carved stone bench, one hand on armrest, calm atmospheric moment|rooftop garden left profile, carved stone bench in foreground, hedges and city skyline beyond, twilight soft violet, glass balustrade receding
Eps_RooftopGarden_05|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair draped smoothly down back, parted bangs, hair bun, dark high-collar dress with subtle silver accents, gold accessories, purple gem, anime style, over-shoulder back view holding a tiny glass jar of pressed flowers, gaze toward city skyline turning amber|girl seen over shoulder holding small glass jar with botanical detail, hedges leading eye toward skyline at dusk, the jar catching a single point of light
Eps_RooftopGarden_06|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair falling in single cascade down her back, parted bangs, hair bun low, dark elegant sleeveless dress with trailing hem, gold accessories, purple gem, anime style, full back silhouette standing at the balustrade edge, sunset behind her, her shadow long across stone tiles|rooftop garden back view, balustrade edge meeting twilight sky, sunset flare directly behind her head, hedges and lanterns receding, city silhouette framing her silhouette
Eps_RooftopGarden_07|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair lifting as if from wind above, parted bangs, hair bun, sculptural black gown with gold thread at collar, gold accessories, purple gem, anime style, low-angle heroic shot looking up at her standing tall on a stone pedestal planter, dusk sky blazing violet-amber behind, sculptural flowers framing|low-angle garden pedestal planter at dusk, sculptural flowers blooming beside her, hedges and city silhouette receding below, twilight sky filling upper frame, dramatic contrast on her cheekbones
Eps_RooftopGarden_08|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair falling softly past shoulders, parted bangs, hair bun, dark elegant dress with high neck, gold accessories, purple gem, anime style, high-angle vulnerable portrait looking up at camera while seated on stone bench, knees together, soft melancholy|high-angle rooftop garden, top-down perspective with stone bench below her, hedges and lanterns forming a circle of warm pinpoints, twilight closing in, soft vulnerability
Eps_RooftopGarden_09|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair framing face, parted bangs, hair bun backlit, dark dress with high collar, gold accessories, purple gem, anime style, extreme close-up face, cheek softly lit by warm dusk glow, hair catching amber rim, eyes calm and intimate|extreme close-up face, hedges blurred behind her as soft golden bokeh, twilight sky framed by her hair silhouette, single amber pinpoint reflected in her eye
Eps_RooftopGarden_10|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair spilling past her wrists, parted bangs, hair bun, dark elegant dress with long sleeves, gold accessories, purple gem, anime style, close-up of hands holding a single perfect garden rose, fingers gentle on the stem with one thorn pad|close-up of lap and hands cradling a single perfect rose, soft twilight glow pooling in palm, blurred hedges behind, single dewdrop on petal
