# BATCH 03 — Eps_CapsuleHotel: minimalist capsule-hotel lounge, neon-strip alcoves, private alcove seating
# Format: prefix|char_prompt|bg_prompt
Eps_CapsuleHotel_01|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair settling neatly past shoulders, parted bangs, hair bun intact, charcoal soft loungewear with rolled sleeves, gold accessories, purple gem, anime style, frontal eye-level portrait seated cross-legged on a low capsule alcove seat, hands resting on knees, calm composed gaze|masterpiece, best quality, ultra-detailed, cinematic, background only, minimalist capsule hotel lounge at night, neon strip lighting in cool cyan, modular alcove seating pods, polished microcement floor, soft amber reading lamps
Eps_CapsuleHotel_02|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long silvery light blue hair neatly draped forward over shoulder, parted bangs, hair bun, simple charcoal loungewear with gold-thread hem, gold accessories, purple gem, anime style, three-quarter right seated on alcove floor cushion, one arm draped over bent knee, gaze toward diffused window, soft idle moment|right-side alcove seating, low tea table beside, blurred capsule door in mid-ground, neon strip glowing under alcove lip, polished floor reflection, ultra-clean interior
Eps_CapsuleHotel_03|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair curling back in warm alcove draft, parted bangs, hair bun, charcoal soft robe-like top over slim slacks, gold accessories, purple gem, anime style, perfect right profile at alcove opening, holding a slim ceramic cup, gaze into steaming tea|capsule alcove right profile, steam from cup catching cyan light, low table edge in foreground, blurred corridor of capsule doors receding, neon strip glow
Eps_CapsuleHotel_04|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair resting on shoulder opposite the camera, parted bangs, hair bun, charcoal loungewear with high soft collar, gold accessories, purple gem, anime style, perfect left profile at alcove reading window, finger tracing along the alcove lip, eyes half-lidded in thought|left profile at alcove window, sliver of diffused warm window light cutting across her cheek, capsule corridor shadow beyond her, blurred neon strip trailing
Eps_CapsuleHotel_05|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair draped down her back to mid-spine, parted bangs, hair bun, charcoal soft loungewear with low back, gold accessories, purple gem, anime style, over-shoulder back view reading a slim paper volume on her knees, pages slightly ruffled|girl seen over shoulder reading paper book, alcove wall in foreground with slim floating shelf, blurred capsule corridor, soft neon underglow
Eps_CapsuleHotel_06|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair cascading down center back to seat cushion, parted bangs, hair bun low, charcoal loungewear with subtle gold-thread hem, gold accessories, purple gem, anime style, full back silhouette standing at alcove threshold, one hand on door frame, soft floor reflection stretching behind her|alcove threshold back view, capsule corridor receding with aligned doors, neon strip under-lit at base of every door, polished microcement floor reflecting cyan, ultra-clean minimalist interior
Eps_CapsuleHotel_07|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair lifting in soft upward air, parted bangs, hair bun, charcoal soft robe-like top with structured high collar, gold accessories, purple gem, anime style, low-angle heroic shot looking up at her standing tall at corridor intersection, arms loosely at sides, calm authority, cyan rim light|low-angle corridor intersection, ceiling ribbed steel converging overhead, capsule doors lining both sides, polished floor receding, dramatic cyan downlight pooling on her shoulders
Eps_CapsuleHotel_08|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair folding across shoulders as she tilts head, parted bangs, hair bun, charcoal loungewear with rolled sleeves, gold accessories, purple gem, anime style, high-angle vulnerable top-down portrait seated on cushion holding ceramic cup in both hands, soft melancholy|high-angle cozy alcove, top-down perspective with low tea table at center, single ceramic cup with steam, blurred corridor of capsule doors beyond alcove
Eps_CapsuleHotel_09|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair framing face softly, parted bangs, hair bun, charcoal loungewear with high soft collar, gold accessories, purple gem, anime style, extreme close-up face, eyes toward camera with composed warmth, single thread of hair across cheek catching cyan rim|extreme close-up face, alcove wall as soft blurred backdrop, cyan neon halo on hair edge, single point of warm light reflecting in her eye, shallow depth
Eps_CapsuleHotel_10|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair spilling past wrists, parted bangs, hair bun, charcoal loungewear with long sleeves turned back at cuffs, gold accessories, purple gem, anime style, close-up of hands turning the page of a slim volume, gold bracelet catching a pinpoint highlight|close-up of lap and hands resting on paper book page edges, page detail visible, alcove floor cushion pattern, soft cyan glow on fingertips, blurred tea cup edge
Eps_CapsuleHotel_11|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair settled past knees as she walks, parted bangs, hair bun, charcoal flowing loungewear with long soft drape, gold accessories, purple gem, anime style, wide full-body establishing shot mid-stride along the corridor, robe hem trailing, soft stride confidence|ultra-wide capsule corridor at night, capsule doors lining the walls with cyan underglow, polished floor reflection stretching far, single tea table alcove inset in mid-ground, ultra-clean minimalist corridor
Eps_CapsuleHotel_12|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair grazing upper thigh, parted bangs, hair bun, charcoal loungewear with asymmetric long drape, gold accessories, purple gem, anime style, detail shot of lower body mid-stride, soft slippers on polished floor, drape swaying with movement|lower-body detail in capsule corridor, polished microcement floor reflecting her, soft slipper toes bending with stride, cyan light strip edge in foreground
Eps_CapsuleHotel_13|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair splaying diagonally as she leans, parted bangs, hair bun tilted, charcoal loungewear, gold accessories, purple gem, anime style, dutch-angle canted composition leaning left, seated leaning sideways on cushion, playful attentive gaze|canted-diagonal alcove view, ceiling seams tilted, capsule door askew along dutch axis, tea table corner diagonal, painterly tension
Eps_CapsuleHotel_14|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair mirrored on polished microcement floor, parted bangs, hair bun, charcoal robe-like top, gold accessories, purple gem, anime style, mirrored reflection in polished microcement floor, twin-silhouette composition half-real half-shadow|mirrored twin-figure across polished microcement floor, floor lights splitting her presence, alcove furnishings reflected, elegant quiet duality
Eps_CapsuleHotel_15|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair rim-lit cyan with single warm thread, parted bangs, hair bun haloed, charcoal loungewear becoming silhouette, gold accessories glinting, purple gem, anime style, backlit silhouette against corridor end-window, body as graceful dark shape, hair catching cool neon halo|backlit silhouette at corridor end window, hair rim glowing cyan, loungewear as deep shape, corridor converging around her, polished floor reflection stretching toward her
Eps_CapsuleHotel_16|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair lifted reverently as a slow incense thread rises, parted bangs, hair bun, charcoal soft robe-like top, gold accessories, purple gem, anime style, gaze lifted toward alcove ceiling reading lamp with warm cone of light, reverent stillness|alcove ceiling reading lamp with warm cone of light, single incense thread rising visible, alcove floor cushion neat, low tea table at edge, capsule corridor receding
Eps_CapsuleHotel_17|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair settled neatly past elbow, parted bangs, hair bun, charcoal loungewear with cinched waist sash, gold accessories, purple gem, anime style, side waist-up view three-quarter left, slight smile, gaze toward dim corridor reading lamp at end|side waist-up three-quarter left, alcove wall softly framing, corridor reading lamp at far end catching her gaze, soft cyan rim along shoulder
Eps_CapsuleHotel_18|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair resting over shoulders, parted bangs, hair bun, charcoal loungewear with high soft collar, gold accessories, purple gem, anime style, frontal waist-up arms loosely folded across her waist, composed intimate gaze, gold belt sash tuck visible|frontal arms-crossed in alcove, alcove symmetry framing her, single ceiling lamp catching gold sash tuck, corridor depth receding symmetrically
Eps_CapsuleHotel_19|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair curled back as if turning to listen, parted bangs, hair bun, charcoal robe-like top with low open back, gold accessories, purple gem, anime style, three-quarter back-left pose, slight turn of head back, single warm light catching her shoulder|three-quarter back-left in alcove, alcove wall with low shelf in foreground, soft warm lamp at far end framing her turned gaze, hair tip swaying
Eps_CapsuleHotel_20|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair streaming sideways in corridor draft, parted bangs, hair bun, charcoal flowing loungewear, gold accessories, purple gem, anime style, over-shoulder foreground composition, near shoulder touching camera, blurred alcove lamplight beyond, distant gaze back over shoulder|over-shoulder foreground shot in alcove, blurred warm lamp and tea table beyond, hair strands catching cyan rim in mid-frame, intimate painterly depth
