# BATCH 01 — Eps_Maglev_Ride: high-speed maglev train cabin at night, panoramic windows streaking city lights
# Format: prefix|char_prompt|bg_prompt
# Hair safety: cool/silvery/ash-blue tones only — never pink/red/neon override of Epsilon's identity.
Eps_Maglev_Ride_01|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, wind-swept very long light blue hair with parted bangs and hair bun flowing, elegant black futuristic outfit, gold accessories, purple gem, anime style, frontal eye-level portrait inside a high-speed maglev cabin, salt-fogged panoramic window behind her streaking with neon corridor lights, hands resting on seat arms, neutral calm expression|masterpiece, best quality, ultra-detailed, cinematic, background only, ultra-modern maglev interior cabin at night, panoramic curved window with sodium-streaked city light trails, brushed steel seat backs, soft overhead downlight, motion lines and rain flecks on glass, ultra-clean futuristic cabin geometry
Eps_Maglev_Ride_02|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long silvery light blue hair with parted bangs and hair bun flowing, elegant black futuristic outfit, gold accessories, purple gem, anime style, three-quarter right portrait sitting on a maglev bench seat, looking out a long curved window, one knee drawn up, soft smile, gold earring visible|maglev cabin interior, curved panoramic windows reflecting teal and amber city lights streaking past, brushed steel panels, recessed warm LED strip along ceiling, condensation on inner glass, ultra-clean futuristic transport interior
Eps_Maglev_Ride_03|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair fanning back with motion, parted bangs, hair bun intact, elegant black futuristic outfit, gold accessories, purple gem, anime style, perfect right profile shot, hair streaming backward from open window vent, distant cityscape rushing past, jawline and lashes emphasized|profile through opened maglev window vent, city streaks drawn horizontally by motion, faint fog clearing past her chin, polished interior frame around her, ribbon trembling in airstream
Eps_Maglev_Ride_04|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair flowing forward against motion, parted bangs, hair bun visible, elegant black futuristic outfit, gold accessories, purple gem, anime style, perfect left profile silhouette, leaning slightly against window, contralto quiet expression, dark lashes catching interior light|left profile framed by open maglev window, city streaking in cool streaks behind her silhouette, hair blown gently inward by vent, calm interior panels beside her
Eps_Maglev_Ride_05|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair draped down her back, parted bangs, hair bun, elegant black futuristic outfit, gold accessories, purple gem, anime style, over-shoulder back view, looking out maglev window at distant terminal lights, fingers trailing along seat edge, soft wool shawl folded on next seat|back over-shoulder inside maglev cabin, blurred seat-back foreground, distant rail terminal glow through rain-flecked window, magenta horizon, ribbons resting on her shoulders
Eps_Maglev_Ride_06|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair cascading down center back, parted bangs, hair bun low, elegant black futuristic outfit with gold belt chain, gold accessories, purple gem, anime style, full-back silhouette standing in maglev vestibule, palm lightly touching the door window, foggy breath trace|maglev vestibule back view, doors closed, viewing window showing streaking amber city fog, ribbed steel walls, soft floor strip lighting, ultra-clean futuristic transit architecture
Eps_Maglev_Ride_07|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair lifting as if airborne, parted bangs, hair bun floating, elegant black futuristic outfit, gold accessories, purple gem, anime style, low-angle heroic shot looking up, standing tall in maglev cabin center, coat hem drifting slightly, fierce composed gaze|low-angle maglev cabin center, ceiling ribbed steel converging above, floor pattern receding, side windows blazing with streaking magenta and cyan, dramatic overhead downlight haloing her hair
Eps_Maglev_Ride_08|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair curling downward, parted bangs, hair bun intact, elegant black futuristic outfit, gold accessories, purple gem, anime style, high-angle vulnerable top-down portrait, leaning forward over folded hands, soft introspective gaze, gold chain glinting|high-angle maglev cabin interior, top-down perspective into her lap between the seat backs, blurred window streaks on either side, soft overhead warm lightpool, deep panel lines receding
Eps_Maglev_Ride_09|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair framing face, parted bangs, hair bun upstage, elegant black futuristic outfit, gold accessories, purple gem, anime style, extreme close-up face, eyes toward camera, light catching her lash line, soft cool window-light on cheekbone, gold hairpin caught in bangs|extreme close-up on face inside maglev cabin, defocused window streaking magenta behind shoulders, off-camera lights hinting at seats, bokeh particles like floating dust, ultra-clean cinematic shallow depth
Eps_Maglev_Ride_10|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair spilling past wrists, parted bangs, hair bun, elegant black futuristic outfit with long sleeves, gold accessories, purple gem, anime style, close-up of gloved hands resting palms-up on her lap, fingers slender, nails neatly cut, gold sleeve cuff folding back|close-up of lap inside maglev cabin, seat fabric cool grey, faint window light streaking across her wrists, gold bracelet catching highlight, soft mist beyond glass behind her
