# BATCH 05 — Eps_StreetFashion: neon-lit shopping street at night, holographic ads, fashion windows, rain-slick ground
# Format: prefix|char_prompt|bg_prompt
Eps_StreetFashion_01|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair drifting in night breeze, parted bangs, hair bun lifted, dark teal asymmetrical trench coat over knee-length dress, gold accessories, purple gem, anime style, frontal eye-level portrait on rain-slick neon street, hands in coat pockets, composed street-style gaze|masterpiece, best quality, ultra-detailed, cinematic, background only, neon shopping street at night, holographic ads above shopfronts, rain-slick ground reflections, fashion windows glowing magenta and teal, distant pedestrians as motion-blur streaks
Eps_StreetFashion_02|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long silvery light blue hair lifted forward over shoulder in night breeze, parted bangs, hair bun, teal trench coat with dark belt, gold accessories, purple gem, anime style, three-quarter right beside a fashion window, finger touching the glass edge, gaze toward mannequin display|right-side fashion window reflection, teal trench coat sleeve catching magenta glow, distant holographic ad on pavement reflection, mannequin silhouette behind her, rain droplets on glass
Eps_StreetFashion_03|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair streaming back in breeze, parted bangs, hair bun intact, dark teal trench coat with high collar, gold accessories, purple gem, anime style, perfect right profile mid-stride, hair trailing horizontally, eye on distant neon sign|right profile mid-stride on rain-slick street, neon trail streaking past her, fashion windows blurring behind her, magenta puddle reflection underfoot, ribbon trailing
Eps_StreetFashion_04|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair resting opposite shoulder, parted bangs, hair bun, dark teal trench coat with asymmetric hem, gold accessories, purple gem, anime style, perfect left profile pausing at a corner, looking toward crosswalk holo, soft resolve|left profile at street corner, crosswalk holo-glow on rain-slick asphalt, fashion windows receding behind her, distant traffic light blur, magenta and cyan contrast
Eps_StreetFashion_05|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair draped smoothly down back, parted bangs, hair bun, dark teal trench coat with back yoke, gold accessories, purple gem, anime style, over-shoulder back view holding a slim shopping tote, gaze toward glowing shop entrance|girl seen over shoulder holding slim shopping tote, glowing shop entrance ahead, rain-slick pavement reflecting magenta puddle, distant figure blurred
Eps_StreetFashion_06|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair cascading down center back past mid-spine, parted bangs, hair bun low, dark teal trench coat with trailing tails, gold accessories, purple gem, anime style, full back silhouette standing under giant holographic ad, magenta reflection stretching toward viewer|back silhouette under giant holographic ad, magenta and cyan light falling on her shoulders, rain-slick pavement mirror pool extending toward viewer, distant storefronts framing
Eps_StreetFashion_07|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair lifting dramatically in upward breeze, parted bangs, hair bun, structured teal trench coat with sharp shoulder line, gold accessories, purple gem, anime style, low-angle heroic shot looking up at her crossing a wet crosswalk, holo signs blazing above|low-angle wet crosswalk at night, holo signs above blazing magenta cyan teal, rain-slick ground reflecting her shoe and sign shapes, trench coat hem lifted in motion
Eps_StreetFashion_08|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair curling forward as she leans, parted bangs, hair bun, dark teal trench coat with soft drape, gold accessories, purple gem, anime style, high-angle vulnerable top-down on a fashion bench, knees together, soft melancholy after a long walk|high-angle fashion bench nook, top-down perspective with her lap and bag below, blurred holographic ad behind her, soft magenta puddle reflection on rain-slick ground beneath bench
Eps_StreetFashion_09|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair framing face softly, parted bangs, hair bun, dark teal trench coat with high collar, gold accessories, purple gem, anime style, extreme close-up face, eyes toward camera with quiet confidence, holo-magenta catching her cheekbone|extreme close-up face, holographic ad blurred as magenta bokeh, single raindrop suspended in mid-frame catching cyan light, trench coat collar framing her shoulders
Eps_StreetFashion_10|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair spilling past wrists, parted bangs, hair bun, dark teal trench coat with turned-back cuffs, gold accessories, purple gem, anime style, close-up of hands adjusting a slim bracelet against wrist, gold bracelet catching pinpoint|close-up of lap and hands adjusting gold bracelet, sleeve cuff folded back, rain-slick pavement puddle blurred behind her, single raindrop reflection on bracelet surface
