# BATCH 04 — Eps_SkyportHall: skyport departure lounge, gate seating bays, vast glass walls, polished floors, dusk
# Format: prefix|char_prompt|bg_prompt
Eps_SkyportHall_01|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair resting neatly past shoulders, parted bangs, hair bun, dark navy travel coat with gold toggles over white inner blouse, gold accessories, purple gem, anime style, frontal eye-level portrait seated in a skyport gate bay, ticket in hand, calm travel smile|masterpiece, best quality, ultra-detailed, cinematic, background only, skyport departure lounge at dusk, vast floor-to-ceiling glass walls, polished terrazzo floor, gate seating bays with chrome rails, distant taxiway lights, soft amber sky
Eps_SkyportHall_02|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long silvery light blue hair settled forward over shoulder, parted bangs, hair bun, navy travel coat with gold-thread collar, gold accessories, purple gem, anime style, three-quarter right seated on chrome gate bench, hand on carry-satchel beside her, gaze toward gate counter|right-side gate bay seating, carry-satchel at her hip, blurred gate counter beyond, polished floor reflection, distant taxiway bokeh
Eps_SkyportHall_03|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair flowing back from soft forward draft, parted bangs, hair bun, navy travel coat with high collar, gold accessories, purple gem, anime style, perfect right profile at gate bay window, watching a skycraft silhouette descend|right profile at gate window, skycraft contrail amber against dusk sky, polished floor reflection extending to her feet, soft amber backlight
Eps_SkyportHall_04|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair resting on shoulder opposite camera, parted bangs, hair bun, navy travel coat with cinched belt, gold accessories, purple gem, anime style, perfect left profile standing at the gate bay partition, ticket held lightly, gaze toward runway|left profile at gate partition, runway and distant skyline beyond, dusk sky amber-violet gradient, polished terrazzo floor reflection
Eps_SkyportHall_05|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair cascading down back, parted bangs, hair bun, navy travel coat with gold closures, gold accessories, purple gem, anime style, over-shoulder back view checking her ticket against the gate number, carry-satchel hanging from one shoulder|girl seen over shoulder checking ticket near gate counter, gate display partly visible, glass reflections catching amber sky, polished floor stretch behind her
Eps_SkyportHall_06|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair falling past mid-back, parted bangs, hair bun low, navy travel coat with capelet, gold accessories, purple gem, anime style, full back silhouette standing at the floor-to-ceiling window, capelet trailing, polished floor mirror pool extending toward viewer|back view at vast gate window, skycraft silhouettes parked beyond glass, twilight sky deep violet, polished terrazzo floor mirror pool stretching across half the frame
Eps_SkyportHall_07|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair lifted in upward draft from gate air-screen, parted bangs, hair bun, structured navy travel coat with sharp shoulder line, gold accessories, purple gem, anime style, low-angle heroic shot looking up at her standing tall at gate bay, ticket held confidently|low-angle gate bay ceiling converging overhead, polished floor receding, twilight glowing through gate window behind her, dramatic silhouette and rim light
Eps_SkyportHall_08|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair falling softly past shoulders, parted bangs, hair bun, navy travel coat with soft drape, gold accessories, purple gem, anime style, high-angle vulnerable top-down seated on chrome bench, knees together, gaze upward toward camera, ticket lying beside her foot|high-angle chrome bench seating from above, ticket dropped mid-frame, blurred glass rail behind, soft amber downlight on her hair, polished floor receding
Eps_SkyportHall_09|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair framing face softly, parted bangs, hair bun, navy travel coat with high collar, gold accessories, purple gem, anime style, extreme close-up face, eyes toward camera with travel anticipation, hair catching twilight rim from gate window|extreme close-up face, gate window as soft amber-violet bokeh behind shoulders, single skycraft pinpoint light reflected in her eye, shallow depth
Eps_SkyportHall_10|(EyesHD:1.2), masterpiece, best quality, ultra-detailed, very aesthetic, sharp focus, ray tracing, detailed illustration, 1girl, solo, Epsilon, adult 21yo face, slim waist, very long light blue hair spilling past wrists, parted bangs, hair bun, navy travel coat with turned-back cuffs, gold accessories, purple gem, anime style, close-up of hands adjusting the carry-satchel strap on shoulder, gold cuff glinting|close-up of shoulder and hands adjusting satchel strap, gold cuff catching twilight pinpoint, ticket edge visible in palm, soft blurred gate display
